#Updated: 02/12/2016 07:21:57
#organism_name	taxID	group	sub group	assembly	level	refSeq FTP	geneBank FTP
Phanerochaete chrysosporium RP-78	273507	Fungi	Basidiomycetes	GCA_000167175.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/175/GCA_000167175.1_ASM16717v1
Candida albicans SC5314	237561	Fungi	Ascomycetes	GCA_000182965.2 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/965/GCF_000182965.2_ASM18296v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/965/GCA_000182965.2_ASM18296v2
Aspergillus fumigatus Af293	330879	Fungi	Ascomycetes	GCA_000002655.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/655/GCF_000002655.1_ASM265v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/655/GCA_000002655.1_ASM265v1
Triticum aestivum	4565	Plants	Land Plants	GCA_900067645.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/067/645/GCA_900067645.1_Triticum_aestivum_CS42_TGAC_v1
Zea mays	4577	Plants	Land Plants	GCA_000005005.5 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/005/GCF_000005005.1_B73_RefGen_v3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/005/GCA_000005005.5_B73_RefGen_v3
Aspergillus nidulans FGSC A4	227321	Fungi	Ascomycetes	GCA_000149205.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/205/GCF_000149205.1_ASM14920v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/205/GCA_000149205.1_ASM14920v1
Neurospora crassa OR74A	367110	Fungi	Ascomycetes	GCA_000182925.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/925/GCF_000182925.2_NC12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/925/GCA_000182925.2_NC12
Leishmania major strain Friedlin	347515	Protists	Kinetoplasts	GCA_000002725.2 	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/725/GCF_000002725.2_ASM272v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/725/GCA_000002725.2_ASM272v2
Trypanosoma cruzi	5693	Protists	Kinetoplasts	GCA_000209065.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/065/GCF_000209065.1_ASM20906v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/209/065/GCA_000209065.1_ASM20906v1
Giardia lamblia ATCC 50803	184922	Protists	Other Protists	GCA_000002435.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/435/GCF_000002435.1_GL2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/435/GCA_000002435.1_GL2
Eimeria tenella	5802	Protists	Apicomplexans	GCA_000499545.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/545/GCF_000499545.2_ETH001	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/545/GCA_000499545.1_ETH001
Cryptosporidium parvum Iowa II	353152	Protists	Apicomplexans	GCA_000165345.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/345/GCF_000165345.1_ASM16534v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/345/GCA_000165345.1_ASM16534v1
Plasmodium falciparum 3D7	36329	Protists	Apicomplexans	GCA_000002765.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/765/GCF_000002765.3_ASM276v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/765/GCA_000002765.1_ASM276v1
Toxoplasma gondii ME49	508771	Protists	Apicomplexans	GCA_000006565.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/565/GCF_000006565.2_TGA4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/565/GCA_000006565.2_TGA4
Entamoeba histolytica HM-1:IMSS	294381	Protists	Other Protists	GCA_000208925.2 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/925/GCF_000208925.1_JCVI_ESG2_1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/208/925/GCA_000208925.2_JCVI_ESG2_1.0
Trypanosoma brucei gambiense DAL972	679716	Protists	Kinetoplasts	GCA_000210295.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/295/GCF_000210295.1_ASM21029v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/295/GCA_000210295.1_ASM21029v1
Plasmodium berghei	5821	Protists	Apicomplexans	GCA_000005395.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/395/GCF_000005395.1_ASM539v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/395/GCA_000005395.1_ASM539v1
Plasmodium chabaudi chabaudi	31271	Protists	Apicomplexans	GCA_900002335.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/335/GCF_900002335.2_PCHAS01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/002/335/GCA_900002335.1_PCHAS01
Plasmodium knowlesi strain H	5851	Protists	Apicomplexans	GCA_000006355.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/355/GCF_000006355.1_ASM635v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/355/GCA_000006355.1_ASM635v1
Plasmodium vivax	5855	Protists	Apicomplexans	GCA_000002415.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/415/GCF_000002415.2_ASM241v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/415/GCA_000002415.2_ASM241v2
Babesia bovis	5865	Protists	Apicomplexans	GCA_000165395.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/395/GCF_000165395.1_ASM16539v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/395/GCA_000165395.1_ASM16539v1
Theileria annulata	5874	Protists	Apicomplexans	GCA_000003225.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/225/GCF_000003225.2_ASM322v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/225/GCA_000003225.1_ASM322v1
Theileria parva	5875	Protists	Apicomplexans	GCA_000165365.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/365/GCF_000165365.1_ASM16536v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/365/GCA_000165365.1_ASM16536v1
Encephalitozoon cuniculi GB-M1	284813	Fungi	Other Fungi	GCA_000091225.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/225/GCF_000091225.1_ASM9122v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/225/GCA_000091225.1_ASM9122v1
Caenorhabditis briggsae	6238	Animals	Roundworms	GCA_000004555.3 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/555/GCA_000004555.3_CB4
Caenorhabditis elegans	6239	Animals	Roundworms	GCA_000002985.3 	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/985/GCA_000002985.3_WBcel235
Brugia malayi	6279	Animals	Roundworms	GCA_000002995.2 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/995/GCF_000002995.3_ASM299v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/995/GCA_000002995.2_ASM299v2
Aedes aegypti	7159	Animals	Insects	GCA_000004015.2 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/015/GCF_000004015.3_AaegL2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/015/GCA_000004015.2_AaegL2
Aedes albopictus	7160	Animals	Insects	GCA_001876365.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/876/365/GCA_001876365.1_canu_80X_arrow2
Anopheles gambiae str. PEST	180454	Animals	Insects	GCA_000005575.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/575/GCF_000005575.2_AgamP3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/575/GCA_000005575.1_AgamP3
Drosophila melanogaster	7227	Animals	Insects	GCA_000001215.4 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/215/GCA_000001215.4_Release_6_plus_ISO1_MT
Apis mellifera	7460	Animals	Insects	GCA_000002195.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/195/GCF_000002195.4_Amel_4.5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/195/GCA_000002195.1_Amel_4.5
Ciona intestinalis	7719	Animals	Other Animals	GCA_000224145.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/145/GCF_000224145.2_KH	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/145/GCA_000224145.2_KH
Danio rerio	7955	Animals	Fishes	GCA_000002035.3 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.5_GRCz10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/035/GCA_000002035.3_GRCz10
Homo sapiens	9606	Animals	Mammals	GCA_000001405.24 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.35_GRCh38.p9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.24_GRCh38.p9
Mus musculus	10090	Animals	Mammals	GCA_000001635.7 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.25_GRCm38.p5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/635/GCA_000001635.7_GRCm38.p5
Dictyostelium discoideum AX4	352472	Protists	Other Protists	GCA_000004695.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/695/GCF_000004695.1_dicty_2.7	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/695/GCA_000004695.1_dicty_2.7
Guillardia theta CCMP2712	905079	Other	Other	GCA_000315625.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/625/GCF_000315625.1_Guith1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/625/GCA_000315625.1_Guith1
Fusarium graminearum PH-1	229533	Fungi	Ascomycetes	GCA_000240135.3 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/135/GCF_000240135.3_ASM24013v3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/135/GCA_000240135.3_ASM24013v3
Aspergillus terreus NIH2624	341663	Fungi	Ascomycetes	GCA_000149615.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/615/GCF_000149615.1_ASM14961v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/615/GCA_000149615.1_ASM14961v1
Thalassiosira pseudonana CCMP1335	296543	Other	Other	GCA_000149405.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/405/GCF_000149405.2_ASM14940v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/405/GCA_000149405.2_ASM14940v2
Glossina morsitans morsitans	37546	Animals	Insects	GCA_001077435.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/435/GCA_001077435.1_ASM107743v1
Saccharomyces bayanus 623-6C	226231	Fungi	Ascomycetes	GCA_000167035.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/035/GCA_000167035.1_ASM16703v1
Saccharomyces mikatae IFO 1815	226126	Fungi	Ascomycetes	GCA_000166975.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/975/GCA_000166975.1_ASM16697v1
Cryptococcus neoformans var. neoformans JEC21	214684	Fungi	Basidiomycetes	GCA_000091045.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/045/GCF_000091045.1_ASM9104v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/045/GCA_000091045.1_ASM9104v1
Gasterosteus aculeatus	69293	Animals	Fishes	GCA_000180675.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/675/GCA_000180675.1_ASM18067v1
Chlamydomonas reinhardtii	3055	Plants	Green Algae	GCA_000002595.2 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/595/GCF_000002595.1_v3.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/595/GCA_000002595.2_v3.0
Drosophila yakuba	7245	Animals	Insects	GCA_000005975.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/975/GCF_000005975.2_dyak_caf1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/975/GCA_000005975.1_dyak_caf1
Magnaporthe oryzae 70-15	242507	Fungi	Ascomycetes	GCA_000002495.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/495/GCF_000002495.2_MG8	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/495/GCA_000002495.2_MG8
Saccharomyces paradoxus NRRL Y-17217	226125	Fungi	Ascomycetes	GCA_000166955.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/955/GCA_000166955.1_ASM16695v1
Saccharomyces kudriavzevii FM1066	1163645	Fungi	Ascomycetes	GCA_000256765.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/256/765/GCA_000256765.1_Saccharomyces_kudriavzevii_strain_FM1066_v1.0
Lachancea kluyveri NRRL Y-12651	226302	Fungi	Ascomycetes	GCA_000149225.1 	Chromosome	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/225/GCA_000149225.1_ASM14922v1
Ustilago maydis 521	237631	Fungi	Basidiomycetes	GCA_000328475.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/475/GCF_000328475.2_Umaydis521_2.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/475/GCA_000328475.2_Umaydis521_2.0
Coprinopsis cinerea okayama7#130	240176	Fungi	Basidiomycetes	GCA_000182895.1 	Contig	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/895/GCF_000182895.1_CC3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/895/GCA_000182895.1_CC3
Rattus norvegicus	10116	Animals	Mammals	GCA_000001895.4 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/895/GCF_000001895.5_Rnor_6.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/895/GCA_000001895.4_Rnor_6.0
Takifugu rubripes	31033	Animals	Fishes	GCA_000180615.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/180/615/GCF_000180615.1_FUGU5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/180/615/GCA_000180615.2_FUGU5
Ciona savignyi	51511	Animals	Other Animals	GCA_000149265.1 	Scaffold	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/265/GCA_000149265.1_ASM14926v1
Plasmodium yoelii yoelii	73239	Protists	Apicomplexans	GCA_000003085.2 	Contig	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/085/GCF_000003085.2_ASM308v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/085/GCA_000003085.2_ASM308v2
Naumovozyma castellii CBS 4309	1064592	Fungi	Ascomycetes	GCA_000237345.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/345/GCF_000237345.1_ASM23734v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/345/GCA_000237345.1_ASM23734v1
Eremothecium gossypii ATCC 10895	284811	Fungi	Ascomycetes	GCA_000091025.4 	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/025/GCF_000091025.4_ASM9102v4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/025/GCA_000091025.4_ASM9102v4
Branchiostoma floridae	7739	Animals	Other Animals	GCA_000003815.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/815/GCF_000003815.1_Version_2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/815/GCA_000003815.1_Version_2
Bombyx mori	7091	Animals	Insects	GCA_000151625.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/625/GCF_000151625.1_ASM15162v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/625/GCA_000151625.1_ASM15162v1
Cyanidioschyzon merolae strain 10D	280699	Other	Other	GCA_000091205.1 	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/205/GCF_000091205.1_ASM9120v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/205/GCA_000091205.1_ASM9120v1
Xenopus tropicalis	8364	Animals	Amphibians	GCA_000004195.3 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/195/GCF_000004195.3_Xenopus_tropicalis_v9.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/195/GCA_000004195.3_Xenopus_tropicalis_v9.1
Xenopus laevis	8355	Animals	Amphibians	GCA_001663975.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/975/GCF_001663975.1_Xenopus_laevis_v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/975/GCA_001663975.1_Xenopus_laevis_v2
Bos taurus	9913	Animals	Mammals	GCA_000003055.5 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/055/GCF_000003055.6_Bos_taurus_UMD_3.1.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/055/GCA_000003055.5_Bos_taurus_UMD_3.1.1
Sus scrofa	9823	Animals	Mammals	GCA_000003025.4 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/025/GCF_000003025.5_Sscrofa10.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/025/GCA_000003025.4_Sscrofa10.2
Strongylocentrotus purpuratus	7668	Animals	Other Animals	GCA_000002235.3 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/235/GCF_000002235.4_Spur_4.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/235/GCA_000002235.3_Spur_4.2
Lachancea waltii NCYC 2644	262981	Fungi	Ascomycetes	GCA_000167115.1 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/115/GCA_000167115.1_ASM16711v1
Coccidioides posadasii C735 delta SOWgp	222929	Fungi	Ascomycetes	GCA_000151335.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/335/GCF_000151335.1_JCVI-cpa1-1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/335/GCA_000151335.1_JCVI-cpa1-1.0
Lotus japonicus	34305	Plants	Land Plants	GCA_000181115.2 	Contig	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/115/GCA_000181115.2_Lj3.0
Populus trichocarpa	3694	Plants	Land Plants	GCA_000002775.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/775/GCF_000002775.3_Poptr2_0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/775/GCA_000002775.2_Poptr2_0
Sorghum bicolor	4558	Plants	Land Plants	GCA_000003195.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/195/GCF_000003195.2_Sorbi1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/195/GCA_000003195.1_Sorbi1
Ornithorhynchus anatinus	9258	Animals	Mammals	GCF_000002275.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/275/GCF_000002275.2_Ornithorhynchus_anatinus_5.0.1	-
Gallus gallus	9031	Animals	Birds	GCA_000002315.3 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/315/GCF_000002315.4_Gallus_gallus-5.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/315/GCA_000002315.3_Gallus_gallus-5.0
Meleagris gallopavo	9103	Animals	Birds	GCA_000146605.3 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/605/GCF_000146605.2_Turkey_5.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/605/GCA_000146605.3_Turkey_5.0
Coturnix japonica	93934	Animals	Birds	GCA_001577835.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/835/GCF_001577835.1_Coturnix_japonica_2.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/577/835/GCA_001577835.1_Coturnix_japonica_2.0
Felis catus	9685	Animals	Mammals	GCA_000181335.3 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/335/GCF_000181335.2_Felis_catus_8.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/335/GCA_000181335.3_Felis_catus_8.0
Ovis aries	9940	Animals	Mammals	GCA_000298735.2 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/298/735/GCF_000298735.2_Oar_v4.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/735/GCA_000298735.2_Oar_v4.0
Struthio camelus australis	441894	Animals	Birds	GCA_000698965.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/965/GCF_000698965.1_ASM69896v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/698/965/GCA_000698965.1_ASM69896v1
Falco peregrinus	8954	Animals	Birds	GCA_000337955.1 	Scaffold	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/955/GCF_000337955.1_F_peregrinus_v1.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/955/GCA_000337955.1_F_peregrinus_v1.0
Equus caballus	9796	Animals	Mammals	GCA_000002305.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/305/GCF_000002305.2_EquCab2.0	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/305/GCA_000002305.1_EquCab2.0
Ictalurus punctatus	7998	Animals	Fishes	GCA_001660625.1 	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/625/GCF_001660625.1_IpCoco_1.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/625/GCA_001660625.1_IpCoco_1.2
